Geneid	SRR11025990	SRR11025989	SRR11025988	SRR11025987	SRR11025986	SRR11025985	SRR11025984	SRR11025983
ENSRNOG00000000650	0	0	0	0	0	0	0	1
ENSRNOG00000000653	4344	2786	4531	4964	3197	4843	2360	3097
ENSRNOG00000000655	718	464	761	654	450	782	337	510
ENSRNOG00000000657	481	343	670	468	414	653	330	390
ENSRNOG00000000658	2634	1670	3156	1936	1294	1667	1029	2499
ENSRNOG00000000661	1821	1255	1849	1964	1183	2004	1274	1300
ENSRNOG00000000662	136	77	149	104	82	178	107	133
ENSRNOG00000000663	1220	834	1348	1102	824	1572	814	1106
ENSRNOG00000000664	1961	1419	2710	1928	1418	2120	1274	1938
ENSRNOG00000000665	2526	1946	3037	2652	2319	3057	1670	2041
ENSRNOG00000000691	3	1	9	0	7	3	5	7
ENSRNOG00000000692	2178	1749	2840	2028	1563	2674	1599	2100
ENSRNOG00000000693	2	1	3	1	1	2	0	1
ENSRNOG00000000695	327	207	348	302	178	345	195	269
ENSRNOG00000000697	1593	1102	1837	1440	1258	1908	1212	1597
ENSRNOG00000000699	110	86	143	107	76	185	67	93
ENSRNOG00000000700	7	8	11	15	12	13	10	4
ENSRNOG00000000701	4738	3892	4579	4442	3249	4308	3098	3961
ENSRNOG00000000702	793	566	816	679	545	822	511	644
ENSRNOG00000000704	147	110	170	110	106	213	78	149
ENSRNOG00000000708	3	4	7	2	5	1	5	5
ENSRNOG00000000713	22	10	13	14	19	22	15	10
ENSRNOG00000000715	3	1	1	1	1	1	0	1
ENSRNOG00000000716	0	0	0	0	0	0	0	0
ENSRNOG00000000718	1931	1282	2374	1939	1459	2543	1127	1317
ENSRNOG00000000720	210	151	243	228	186	289	125	228
ENSRNOG00000000723	315	888	1081	397	221	926	388	515
ENSRNOG00000000726	0	0	0	0	0	0	0	0
ENSRNOG00000000728	842	208	503	804	413	875	376	685
ENSRNOG00000000729	616	348	539	511	427	643	393	481
ENSRNOG00000000746	0	0	0	0	0	0	0	0
ENSRNOG00000000747	20	3	0	8	19	21	10	10
ENSRNOG00000000748	699	476	737	763	429	622	360	488
ENSRNOG00000000749	0	0	1	0	1	1	1	0
ENSRNOG00000000759	0	1	2	0	0	0	0	0
ENSRNOG00000000763	89	66	126	111	73	114	72	106
ENSRNOG00000000765	0	0	0	2	0	0	0	0
ENSRNOG00000000767	0	1	0	0	0	0	0	0
ENSRNOG00000000768	272	5	320	212	54	298	114	263
ENSRNOG00000000774	625	544	761	609	461	630	337	547
ENSRNOG00000000775	49	18	21	39	14	26	23	5
ENSRNOG00000000777	4424	3430	8056	3263	3153	4332	3225	5629
ENSRNOG00000000778	197	135	200	168	172	208	123	185
ENSRNOG00000000779	346	261	265	353	241	365	202	275
ENSRNOG00000000780	1027	760	967	971	695	1077	766	961
ENSRNOG00000000781	695	452	769	844	581	974	402	617
ENSRNOG00000000782	2	1	5	0	1	1	1	3
ENSRNOG00000000783	1	0	1	2	0	0	0	0
ENSRNOG00000000785	1131	963	1351	1205	814	1368	804	942
ENSRNOG00000000786	1500	1281	1646	1313	852	1695	1123	1545
ENSRNOG00000000787	38	12	32	42	36	24	23	17
ENSRNOG00000000795	88	72	151	189	60	245	150	142
ENSRNOG00000000796	6502	4023	8086	6673	4460	8256	3390	4596
ENSRNOG00000000798	1416	919	1684	1224	866	1680	966	1301
ENSRNOG00000000799	2812	2167	3219	2838	2011	3490	1967	2375
ENSRNOG00000000800	10231	8110	13376	10326	9668	14679	7670	8860
ENSRNOG00000000801	87	72	102	79	28	41	26	64
ENSRNOG00000000802	119	66	169	110	92	208	107	104
ENSRNOG00000000804	1626	951	1484	1218	1023	1658	924	1459
ENSRNOG00000000805	1077	722	1256	1326	875	1486	652	650
ENSRNOG00000000808	1333	825	1335	1185	1103	1572	691	1000
ENSRNOG00000000809	270	199	307	253	294	356	215	256
ENSRNOG00000000811	20	15	29	24	16	35	17	22
ENSRNOG00000000812	486	453	591	458	323	620	243	356
ENSRNOG00000000814	2564	1722	4579	2323	3044	2633	2110	3557
ENSRNOG00000000815	6763	4271	7452	6272	4793	7638	4048	5821
ENSRNOG00000000816	331	256	381	270	212	384	187	251
ENSRNOG00000000818	46	22	46	36	30	38	31	24
ENSRNOG00000000823	1785	1083	2222	1600	1293	2320	1053	1147
ENSRNOG00000000824	748	470	786	779	400	1069	389	480
ENSRNOG00000000825	1	0	1	0	0	0	0	0
ENSRNOG00000000826	860	831	1373	803	812	1176	670	785
ENSRNOG00000000827	1224	1296	869	1244	884	1426	741	1321
ENSRNOG00000000831	477	480	649	530	451	790	458	534
ENSRNOG00000000833	1256	818	1366	1207	706	1347	787	1065
ENSRNOG00000000836	0	3	7	4	1	3	3	8
ENSRNOG00000000837	0	1	0	1	1	0	0	0
ENSRNOG00000000838	0	0	0	1	0	0	0	2
ENSRNOG00000000839	227	164	277	216	127	230	156	192
ENSRNOG00000000840	2	5	3	6	0	2	0	1
ENSRNOG00000000841	8849	7505	9769	8715	5745	8560	5323	6685
ENSRNOG00000000842	54	73	66	63	36	65	40	40
ENSRNOG00000000843	0	0	2	3	0	0	0	0
ENSRNOG00000000844	1	2	1	2	0	2	1	4
ENSRNOG00000000846	0	0	0	0	0	0	0	0
ENSRNOG00000000847	3613	2392	3497	2989	2086	3535	1904	3039
ENSRNOG00000000848	501	367	535	427	381	557	339	380
ENSRNOG00000000850	12960	9204	12422	12871	10654	11763	8151	9770
ENSRNOG00000000851	3999	2910	4234	3717	2651	4539	2407	3505
ENSRNOG00000000852	6950	4667	8020	6455	4443	8104	4360	5395
ENSRNOG00000000853	500	392	614	400	345	529	302	572
ENSRNOG00000000854	77	63	69	57	48	79	41	49
ENSRNOG00000000855	100	75	133	100	83	103	59	104
ENSRNOG00000000857	9	6	9	6	2	12	4	7
ENSRNOG00000000858	1	3	7	1	0	3	1	3
ENSRNOG00000000860	8	4	13	11	4	18	8	5
ENSRNOG00000000861	0	0	0	0	0	0	0	0
ENSRNOG00000000866	832	591	886	590	626	814	507	664
ENSRNOG00000000867	1512	973	1606	1303	838	1528	825	1081
ENSRNOG00000000869	93	85	163	124	71	157	57	92
ENSRNOG00000000871	4	3	2	2	0	0	0	1
ENSRNOG00000000873	0	0	0	0	0	0	0	0
ENSRNOG00000000875	125	134	111	110	64	123	46	64
ENSRNOG00000000878	200	449	475	171	258	391	66	173
ENSRNOG00000000879	636	430	698	656	483	630	427	467
ENSRNOG00000000881	2423	1422	2658	2526	1647	2109	1201	1716
ENSRNOG00000000885	23	6	22	11	15	18	9	7
ENSRNOG00000000886	7	3	10	2	1	7	1	1
ENSRNOG00000000887	142	96	147	173	115	137	68	122
ENSRNOG00000000888	1418	1135	1702	1411	1127	2023	1032	1234
ENSRNOG00000000889	2	0	0	1	0	1	0	1
ENSRNOG00000000891	631	306	583	624	410	572	269	473
ENSRNOG00000000893	2194	1396	2386	1969	1317	2143	1091	1829
ENSRNOG00000000894	141	90	158	129	84	167	75	104
ENSRNOG00000000895	739	477	727	670	523	800	402	489
ENSRNOG00000000896	3	3	5	7	0	3	1	4
ENSRNOG00000000897	3	3	0	1	0	0	1	2
ENSRNOG00000000900	3460	2319	3744	2734	2896	3520	2207	4381
ENSRNOG00000000901	1015	836	1094	1027	745	1134	698	789
ENSRNOG00000000902	4259	4916	5593	6506	3367	7892	4122	2907
ENSRNOG00000000903	45805	33227	30198	30009	29103	41647	23155	37698
ENSRNOG00000000904	0	0	3	0	0	0	0	0
ENSRNOG00000000905	0	0	0	0	0	0	0	0
ENSRNOG00000000906	3	3	8	1	1	4	0	6
ENSRNOG00000000907	51	34	66	61	42	81	40	44
ENSRNOG00000000909	1087	665	1156	734	615	1174	856	908
ENSRNOG00000000913	2382	1487	2452	1994	1539	2624	1541	1789
ENSRNOG00000000916	0	0	0	0	1	0	0	0
ENSRNOG00000000917	112	90	135	112	83	157	114	109
ENSRNOG00000000918	2177	1548	2493	2247	1401	2318	1504	2076
ENSRNOG00000000920	19	20	22	8	6	21	4	6
ENSRNOG00000000921	5458	3497	5644	5306	3914	6850	3120	3886
ENSRNOG00000000922	815	667	861	711	537	861	516	651
ENSRNOG00000000923	3848	3071	4283	4471	2823	4640	2647	2977
ENSRNOG00000000924	23	22	24	28	19	20	13	16
ENSRNOG00000000925	364	244	333	379	285	422	226	274
ENSRNOG00000000926	788	674	813	774	559	852	548	700
ENSRNOG00000000931	1877	1530	2133	1614	1289	1914	952	1333
ENSRNOG00000000934	0	0	0	0	0	0	0	0
ENSRNOG00000000936	2675	2418	2760	2573	2081	3768	3175	2743
ENSRNOG00000000937	1535	966	1810	1667	1354	1627	893	1355
ENSRNOG00000000938	2279	1785	2576	2171	1819	2883	1775	1787
ENSRNOG00000000940	969	538	968	825	579	1130	577	583
ENSRNOG00000000942	683	432	888	669	591	812	448	483
ENSRNOG00000000943	0	0	1	0	0	0	2	0
ENSRNOG00000000952	0	0	0	0	0	0	0	0
