category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p_adjust_over_represented	p_adjust_under_represented
04330	1	0.548620403852532	0	47	1	0.999999998961904
04340	1	0.52771468708472	0	50	1	0.999999998961904
04370	1	0.418068329071447	0	70	1	0.999999998961904
04380	1	0.249181214791896	0	111	1	0.999999998961904
04510	1	0.0832488188467271	0	182	1	0.999999998961904
04514	1	0.199434389468039	0	130	1	0.999999998961904
04530	1	0.21666733972959	0	123	1	0.999999998961904
04540	1	0.328205698537535	0	86	1	0.999999998961904
04610	1	0.463642047391698	0	61	1	0.999999998961904
04612	1	0.50265221974994	0	63	1	0.999999998961904
04614	1	0.796732934078524	0	18	1	0.999999998961904
04620	1	0.36431824275569	0	82	1	0.999999998961904
04621	1	0.543051080376326	0	51	1	0.999999998961904
04622	1	0.516320938370773	0	53	1	0.999999998961904
04623	1	0.642408522523182	0	40	1	0.999999998961904
04640	1	0.429854579716892	0	73	1	0.999999998961904
04650	1	0.366421743176499	0	83	1	0.999999998961904
04660	1	0.296512539721929	0	102	1	0.999999998961904
04662	1	0.418363952292971	0	68	1	0.999999998961904
04664	1	0.419963391061185	0	74	1	0.999999998961904
04666	1	0.317820357509086	0	88	1	0.999999998961904
04670	1	0.24901623368826	0	110	1	0.999999998961904
04672	1	0.65371913059419	0	40	1	0.999999998961904
04710	1	0.758946585337836	0	21	1	0.999999998961904
04720	1	0.452900441283905	0	62	1	0.999999998961904
04722	1	0.205173903283612	0	124	1	0.999999998961904
04730	1	0.422638718190739	0	69	1	0.999999998961904
04742	1	0.616893518559194	0	47	1	0.999999998961904
04744	1	0.760511963822878	0	24	1	0.999999998961904
04912	1	0.308185120461418	0	93	1	0.999999998961904
04914	1	0.354576133917887	0	80	1	0.999999998961904
04916	1	0.322831656282352	0	89	1	0.999999998961904
04940	1	0.618371566427262	0	47	1	0.999999998961904
04950	1	0.743960647980138	0	26	1	0.999999998961904
04960	1	0.593008942315786	0	41	1	0.999999998961904
04962	1	0.595224913826596	0	43	1	0.999999998961904
04964	1	0.770185073255278	0	20	1	0.999999998961904
04966	1	0.751956962750895	0	24	1	0.999999998961904
04970	1	0.386457917917809	0	74	1	0.999999998961904
04971	1	0.410151213598467	0	68	1	0.999999998961904
04972	1	0.295253608589279	0	99	1	0.999999998961904
04974	1	0.386913396794829	0	73	1	0.999999998961904
05014	1	0.539891516261021	0	52	1	0.999999998961904
05020	1	0.676944277712715	0	35	1	0.999999998961904
05140	1	0.462066269921277	0	64	1	0.999999998961904
05142	1	0.301991198033153	0	100	1	0.999999998961904
05143	1	0.721428945503354	0	30	1	0.999999998961904
05144	1	0.595973639457826	0	44	1	0.999999998961904
05146	1	0.299793971175703	0	95	1	0.999999998961904
05150	1	0.609769099660277	0	42	1	0.999999998961904
05210	1	0.473437827217305	0	59	1	0.999999998961904
05211	1	0.427796161333154	0	66	1	0.999999998961904
05213	1	0.536279756727646	0	48	1	0.999999998961904
05214	1	0.475665494774768	0	58	1	0.999999998961904
05215	1	0.347762834200197	0	82	1	0.999999998961904
05216	1	0.699740143449142	0	28	1	0.999999998961904
05217	1	0.539062521281835	0	47	1	0.999999998961904
05218	1	0.479331593128982	0	65	1	0.999999998961904
05219	1	0.644939365152116	0	35	1	0.999999998961904
05220	1	0.405974303534415	0	70	1	0.999999998961904
05222	1	0.375988823949681	0	74	1	0.999999998961904
05223	1	0.530126746465825	0	49	1	0.999999998961904
05310	1	0.829048179883616	0	21	1	0.999999998961904
05320	1	0.651574391820286	0	43	1	0.999999998961904
05322	1	0.518313076352141	0	64	1	0.999999998961904
05323	1	0.443462177138452	0	73	1	0.999999998961904
05330	1	0.680953641773724	0	40	1	0.999999998961904
05332	1	0.688795846859148	0	38	1	0.999999998961904
05340	1	0.707134292411374	0	29	1	0.999999998961904
